Price,Close,High,Low,Open,Volume
Ticker,CSPF,CSPF,CSPF,CSPF,CSPF
2025-02-05,23.571063995361328,23.572000886019286,23.528880672282753,23.528880672282753,1800
2025-02-06,23.58324432373047,23.613240908275504,23.581368754964434,23.613240908275504,1500
2025-02-07,23.585124969482422,23.585124969482422,23.585124969482422,23.585124969482422,100
2025-02-10,23.61793327331543,23.64136805519509,23.61793327331543,23.63668181400286,800
2025-02-11,23.561683654785156,23.603866966996183,23.561683654785156,23.603866966996183,300
2025-02-12,23.548561096191406,23.566370954701625,23.548561096191406,23.566370954701625,75100
2025-02-13,23.538257598876953,23.54763187039216,23.538257598876953,23.54763187039216,1000
2025-02-14,23.599184036254883,23.613246335335123,23.599184036254883,23.613246335335123,5900
2025-02-18,23.61793327331543,23.753857511360415,23.61793327331543,23.753857511360415,33900
2025-02-19,23.655427932739258,23.772603618099833,23.655427932739258,23.669488442835625,3300
2025-02-20,23.608556747436523,23.63199152707725,23.603870506692008,23.622619045588223,3300
2025-02-21,23.66668128967285,23.706990835857717,23.655433236665576,23.66011947842874,4500
2025-02-24,23.65730094909668,23.66011340861685,23.65730094909668,23.66011340861685,300
2025-02-25,23.674175262451172,23.77260419940982,23.674175262451172,23.68823756085047,6100
2025-02-26,23.683549880981445,23.716358931131317,23.669489370334112,23.669489370334112,1700
2025-02-27,23.729644775390625,23.780442408911334,23.729644775390625,23.76162833766599,25200
2025-02-28,23.747520446777344,23.747520446777344,23.733408995189965,23.733408995189965,300
2025-03-03,23.667560577392578,23.676967613333915,23.667560577392578,23.676967613333915,75400
2025-03-04,23.65439224243164,23.65439224243164,23.65439224243164,23.65439224243164,100
2025-03-05,23.587602615356445,23.611119307260164,23.58289820045055,23.611119307260164,20800
2025-03-06,23.60735511779785,23.620524607833264,23.60735511779785,23.620524607833264,200
2025-03-07,23.64780616760254,23.658153368799905,23.63933929705453,23.658153368799905,2200
2025-03-10,23.64498519897461,23.648747654692247,23.601714266908676,23.601714266908676,3700
2025-03-11,23.57537269592285,23.592304641898767,23.554678294642127,23.563143370525815,2800
2025-03-12,23.61770248413086,23.667558154728827,23.58948137919562,23.58948137919562,6600
2025-03-13,23.56879234313965,23.639342430222584,23.545275647445337,23.554682684564835,5800
2025-03-14,23.588542938232422,23.65815284911085,23.540567594598162,23.55467904520153,6400
2025-03-17,23.658151626586914,23.667558661766858,23.554677828024555,23.564083068995995,4100
2025-03-18,23.609237670898438,23.667560216319767,23.573491652550157,23.573491652550157,6000
2025-03-19,23.658151626586914,23.686372732126742,23.63463493574131,23.638397390971587,8100
2025-03-20,23.65345001220703,23.676966704052923,23.65345001220703,23.66755966847285,1400
2025-03-21,23.65345001220703,23.658152632892776,23.644042976626956,23.658152632892776,24200
2025-03-24,23.71459197998047,23.789848261218566,23.6656782679093,23.69577970387944,5400
2025-03-25,23.644039154052734,23.65814880803742,23.63933473991898,23.63933473991898,7400
2025-03-26,23.710830688476562,23.771035357580157,23.639338653158372,23.667559760007737,202800
2025-03-27,23.639339447021484,23.686374626683307,23.592306061568305,23.611120133433037,43700
2025-03-28,23.610992431640625,23.65634944068209,23.60437794291845,23.632726524147618,64200
2025-03-31,23.746116638183594,23.746116638183594,23.590203951186243,23.594927813447335,36000
2025-04-01,23.64217758178711,23.64217758178711,23.604379471034555,23.604379471034555,11600
2025-04-02,23.593982696533203,23.594927108494613,23.557130804596277,23.557130804596277,6400
2025-04-03,23.46641731262207,23.481536915904886,23.424841557641983,23.424841557641983,7000
2025-04-04,23.40593719482422,23.509878361009857,23.358689571728444,23.358689571728444,6300
2025-04-07,23.217899322509766,23.217899322509766,23.193331995478747,23.193331995478747,500
2025-04-08,23.13947105407715,23.301998219364737,23.135689801731502,23.29254869312631,6400
2025-04-09,23.245302200317383,23.283098501878722,22.82008254329736,22.82008254329736,4500
2025-04-10,23.03553009033203,23.056317968494085,22.952376775370812,23.037418914357854,4200
2025-04-11,23.057260513305664,23.11301145687368,22.867330982250127,22.93347586405746,7000
2025-04-14,23.131914138793945,23.141363666579426,23.10356735775064,23.141363666579426,300
2025-04-15,23.202781677246094,23.349244833082704,23.16025970890029,23.16025970890029,15900
2025-04-16,23.240577697753906,23.24530336213076,23.216954782808283,23.216954782808283,3000
2025-04-17,23.31617546081543,23.339800181472164,23.29255254247184,23.339800181472164,8000
2025-04-21,23.38704490661621,23.42484301602,23.186719612790082,23.273652380717905,17300
2025-04-22,23.349246978759766,23.368146033608607,23.308615632916524,23.330349726223996,26600
2025-04-23,23.465471267700195,23.500434334057626,23.387041823109755,23.500434334057626,2100
2025-04-24,23.524057388305664,23.528781250229926,23.49570880982161,23.528781250229926,600
2025-04-25,23.585477828979492,23.594927355631278,23.557131051337056,23.56658057798884,5700
2025-04-28,23.5902042388916,23.604377628160687,23.566581322672135,23.585478574259923,900
2025-04-29,23.544652938842773,23.573123546267215,23.544652938842773,23.55414314131759,25800
2025-04-30,23.544652938842773,23.563633343792404,23.50669393901456,23.516184141489376,5200
2025-05-01,23.52946662902832,23.55413970380519,23.525670910606554,23.53515930162558,8100
2025-05-02,23.563631057739258,23.58261146084748,23.535160453076927,23.535160453076927,200
2025-05-05,23.563631057739258,23.58166298371333,23.554140856185146,23.58166298371333,1500
2025-05-06,23.58450698852539,23.649039631161518,23.54464923045158,23.563629632411708,9900
2025-05-07,23.606338500976562,23.606338500976562,23.601594304744314,23.601594304744314,100
2025-05-08,23.649044036865234,23.677514645109362,23.620573428621107,23.63006363136915,149700
2025-05-09,23.687000274658203,23.692694757656977,23.668021681447097,23.668021681447097,400
2025-05-12,23.781898498535156,23.781898498535156,23.781898498535156,23.781898498535156,400
2025-05-13,23.82935333251953,23.886292736699158,23.77241211826888,23.81037292776931,6300
2025-05-14,23.762924194335938,23.790444514716466,23.743943789211613,23.77621011590875,32700
2025-05-15,23.781898498535156,23.88628889781322,23.677509909327824,23.76291990690611,62000
2025-05-16,23.838842391967773,23.838842391967773,23.781901180447107,23.781901180447107,500
2025-05-19,23.857818603515625,23.895779407405655,23.81985960969635,23.81985960969635,4300
2025-05-20,23.797086715698242,23.88629244484909,23.772411827810238,23.857821838071626,13000
2025-05-21,23.76766586303711,23.82935126809577,23.734451062637262,23.80088066343696,11200
2025-05-22,23.771459579467773,23.781898257275536,23.771459579467773,23.781898257275536,700
2025-05-23,23.762924194335938,23.77051563235724,23.753433991773775,23.753433991773775,1200
2025-05-27,23.971698760986328,24.066598958882413,23.848327960700203,23.98118896178301,12800
2025-05-28,23.876798629760742,23.990679229568173,23.80087883324603,23.867308428937562,29000
2025-05-29,23.89872932434082,23.912077315726833,23.89300823702469,23.90254277637576,46600
2025-05-30,23.91684341430664,23.988351549393112,23.883473436206934,23.912077053947005,6900
